National Park,Station Name,Weather Station ID
Acadia,"MCFARLAND HILL MAINE, ME US",GHCND:USR0000MMCF
America Samoa,N/A,
Arches,"ARCHES NATIONAL PARK HQS, UT US",GHCND:USC00420336
Badlands,"PINNACLES SOUTH DAKOTA, SD US",GHCND:USR0000SPNN
Big Bend,"BIG BEND RANCH STATE PARK, TX US",GHCND:USC00410764
Biscayne,"JOHN PENNEKAMP STATE PARK, FL US",GHCND:USC00084412
Black Canyon of the Gunnison,"BLACK CANYON OF THE GUNNISON, CO US",GHCND:USC00050754
Bryce Canyon,"BRYCE CANYON NATIONAL PARK HQRS, UT US",GHCND:USC00421008
Canyonlands,"CANYONLANDS THE NEEDLES, UT US",GHCND:USC00421168
Capitol Reef,"CAPITOL REEF NATIONAL PARK, UT US",GHCND:USC00421171
Carlsbad Caverns,"CARLSBAD CAVERNS, NM US",GHCND:USC00291480
Channel Islands,"SANTA CRUZ ISLAND CALIFORNIA, CA US",GHCND:USR0000CSCI
Congaree,"COLUMBIA 1.9 SE, SC US",GHCND:US1SCRC0064
Crater Lake,"CRATER LAKE NPS HQ, OR US",GHCND:USC00351946
Cuyahoga Falls,"CUYAHOGA FALLS 1.1 ESE, OH US",GHCND:US1OHSM0005
Death Valley,"DEATH VALLEY NATIONAL PARK, CA US",GHCND:USC00042319
Denali,"DENALI VISITOR CENTER ALASKA, AK US",GHCND:USR0000ADEN
Dry Tortugas,"DRY TORTUGAS, US",GHCND:USC00082418
Everglades,"CACHE FLORIDA, FL US",GHCND:USR0000FCAC
Gates of the Artic,"RAM CREEK ALASKA, AK US",GHCND:USR0000ARMC
Gateway Arch,"ST. LOUIS 5.7 SW, MO US",GHCND:US1MOSLC007
Glacier,"MANY GLACIER, MT US",GHCND:USS0013A27S
Glacier Bay,"GLACIER BAY, AK US",GHCND:USC00503294
Grand Canyon,"GRAND CANYON VISITOR CENTER, AZ US",GHCND:USC00023582
Grand Teton,"TETON VILLAGE 1.6 NE, WY US",GHCND:US1WYTT0015
Great Basin,"GREAT BASIN NATIONAL PARK, NV US",GHCND:USC00263340
Great Sand Dunes,"GREAT SAND DUNES NATIONAL PARK AND PRESERVE, CO US",GHCND:USC00053541
Great Smoky Mountains,"GATLINBURG 2 SW, TN US",GHCND:USC00403420
Pine Springs Guadalupe Mountains,"PINE SPRINGS GUADALUPE MOUNTAINS NATIONAL PARK, TX US",GHCND:USW00023055
Haleakala,"HALEAKALA SUMMIT 338, HI US",GHCND:USC00511008
Hawaii Volcanoes,"PALI 2 HAWAII, HI US",GHCND:USR0000HPAL
Hot Springs,"HOT SPRINGS ASOS, AR US",GHCND:USW00003962
Indiana Dunes,"INDIANA DUNES NATIONAL LAKESHORE, IN US",GHCND:USC00124244
Isle Royale,"OJIBWAY MICHIGAN, US",GHCND:USR0000MOJI
Joshua Tree,"JOSHUA TREE 2.0 S, CA US",GHCND:US1CASR0014
Katmai,"KING SALMON 42 SE, AK US",GHCND:USW00025522
Kenai Fjords,"KENAI 29 ENE, AK US",GHCND:USW00026563
Kings Canyon,"GRANT GROVE, CA US",GHCND:USC00043551
Kobuk Valley,"KIANA ALASKA, AK US",GHCND:USR0000AKIA
Lake Clark,"PORT ALSWORTH ALASKA, AK US",GHCND:USR0000APAL
Lassen Volcanic,"MANZANITA LAKE CALIFORNIA, CA US",GHCND:USR0000CMAN
Mammoth Cave,"MAMMOTH CAVE, KY US",GHCND:USC00155097
Mesa Verde,"MESA VERDE NATIONAL PARK, CO US",GHCND:USC00055531
Mount Rainier,"RAINIER PARADISE RANGER STATION, WA US",GHCND:USC00456898
North Cascades,"NEWHALEM, WA US",GHCND:USC00455840
Olympic,"FORKS 1 E, WA US",GHCND:USC00452914
Petrified Forest,"PETRIFIED FOREST NATIONAL PARK, AZ US",GHCND:USC00026468
Pinnacles,"PINNACLES NATIONAL PARK, CA US",GHCND:USC00046926
Redwood,"ARCATA EUREKA AIRPORT, CA US",GHCND:USW00024283
Rocky Mountain,"BOULDER 14 W, CO US",GHCND:USW00094075
Saguaro,"SAGUARO NATIONAL PARK, AZ US",GHCND:USC00027398
Sequoia,"THREE RIVERS 1.7 NE, CA US",GHCND:US1CATL0011
Shenandoah,"SHENANDOAH 1.4 N, VA US",GHCND:US1VAPG0001
Theodore Roosevelt,"MEDORA, ND US",GHCND:USC00325813
Virgin Islands,"CYRIL E. KING AIRPORT, US",GHCND:VQW00011640
Voyageurs,"KABETOGAMA, MN US",GHCND:USC00214191
White Sands,"WHITE SANDS NATIONAL MON, NM US",GHCND:USC00299686
Wind Cave,"WIND CAVE, SD US",GHCND:USC00399347
Wrangell-St. Elias,"MAY CREEK ALASKA, AK US",GHCND:USR0000AMAY
Yellowstone,"YELLOWSTONE LAKE, WY US",GHCND:USW00094173
Yosemite,"YOSEMITE PARK HEADQUARTERS, CA US",GHCND:USC00429717
Zion,"ZION NATIONAL PARK, UT US",GHCND:USC00429717